"id","host_id","host_since","host_response_time","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_verifications","host_identity_verified","latitude","longitude","property_type","room_type","accommodates","bathrooms","bedrooms","beds","bed_type","amenities","guests_included","minimum_nights","number_of_reviews","first_review","last_review","review_scores_rating","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","cancellation_policy","reviews_per_month","price"
"20702398","1457680","2011-11-30","within an hour","100%","N/A","f","1","{email, phone, reviews}","f","40.84919061792365","-73.78650889036722","House","Private room","2","1.0","1","1","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Fire extinguisher,Essentials,Hangers,Hair dryer}","1","1","2","2017-09-17","2017-10-01","100","10","10","10","10","10","10","moderate","2","$50.00"
"6627449","13886510","2014-04-04","within an hour","100%","N/A","f","1","{email, phone, reviews, kba}","t","40.84977456920603","-73.78660938743727","Apartment","Entire home/apt","3","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron}","1","3","21","2015-07-04","2017-09-26","95","10","10","10","10","10","10","strict","0.77","$125.00"
"5557381","28811542","2015-03-05","within an hour","100%","N/A","t","1","{email, phone, reviews, jumio}","t","40.850023814160465","-73.78932759494228","House","Private room","4","1.0","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Pets allowed,Gym,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Essentials,Lock on bedroom door,Laptop friendly workspace,translation missing: en.hosting_amenity_50}","2","3","94","2015-05-25","2017-07-31","97","10","10","10","10","10","10","moderate","3.27","$69.00"
"19609887","137892083","2017-06-30","within an hour","100%","N/A","f","1","{email, phone, reviews}","f","40.85197955192494","-73.78930422859898","Apartment","Entire home/apt","7","1.0","2","5","Real Bed","{TV,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Essentials,Lock on bedroom door,Hangers,Hair dryer,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Patio or balcony}","2","2","3","2017-08-07","2017-09-24","100","10","10","10","10","10","10","flexible","1.58","$150.00"
"7949480","119445","2010-05-06","within an hour","100%","N/A","t","1","{email, phone, reviews, jumio}","t","40.85205377887418","-73.78867963460137","House","Private room","2","1.0","1","1","Real Bed","{Cable TV,Wireless Internet,Air conditioning,Free parking on premises,Breakfast,Pets live on this property,Cat(s),Indoor fireplace,Heating,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Garden or backyard,Host greets you}","1","1","31","2016-01-18","2017-09-01","100","10","10","10","10","10","10","moderate","1.49","$101.00"
"9147025","403032","2011-02-21","within an hour","100%","N/A","t","1","{email, phone, facebook, reviews}","f","40.8448695719099","-73.78954050381778","House","Entire home/apt","2","1.0","0","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Washer,Dryer,Smoke detector,Carbon monoxide detector,Safety card,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Lockbox}","1","2","60","2015-12-26","2017-10-01","97","10","10","10","10","10","10","moderate","2.78","$125.00"
"1936633","10018391","2013-11-14","a few days or more","33%","N/A","f","1","{email, phone, reviews}","f","40.8525820421575","-73.78762098442378","Apartment","Entire home/apt","2","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron}","2","3","49","2014-01-21","2017-05-23","99","10","10","10","10","10","10","strict","1.09","$115.00"
"19758402","139415761","2017-07-09","within an hour","100%","N/A","f","1","{phone, reviews}","f","40.8530609020971","-73.78948148583973","House","Entire home/apt","4","2.0","3","3","Real Bed","{Wireless Internet,Air conditioning,Kitchen,Breakfast,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Hangers,Hair dryer,Laptop friendly workspace,Private entrance,Hot water,Bed linens,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Garden or backyard,Waterfront,Beachfront}","4","2","9","2017-07-23","2017-09-25","87","8","8","10","9","9","9","moderate","3.70","$62.00"
"11675715","56714504","2016-01-30","within an hour","100%","N/A","t","1","{email, phone, reviews, jumio, offline_government_id, kba, government_id, work_email}","t","40.851391475520586","-73.78413886754988","House","Entire home/apt","4","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","2","1","110","2016-03-21","2017-09-11","98","10","10","10","10","10","10","flexible","5.88","$85.00"
"3400359","16286162","2014-06-02","within an hour","100%","N/A","f","4","{email, phone, reviews, kba}","t","40.86676961474904","-73.8593779298868","House","Private room","2","1.5","1","1","Real Bed","{Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout,Wide hallway clearance,Well-lit path to entrance,Wide doorway,Accessible-height bed,Step-free access}","1","2","72","2014-07-05","2017-09-21","91","9","9","10","10","9","9","strict","1.82","$44.00"
"4407790","16286162","2014-06-02","within an hour","100%","N/A","f","4","{email, phone, reviews, kba}","t","40.8668196519771","-73.85811594431937","House","Private room","2","1.5","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Hot water,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Stove,Garden or backyard,Luggage dropoff allowed,Cleaning before checkout}","1","2","35","2014-11-01","2017-05-05","95","9","9","10","10","9","10","moderate","0.98","$47.00"
"715270","3684360","2012-09-26","within an hour","100%","N/A","f","5","{email, phone, reviews, sent_id}","t","40.859559279042436","-73.8706689777465","Apartment","Private room","3","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Family/kid friendly,Smoke detector,First aid kit,Fire extinguisher}","1","2","131","2012-10-20","2017-09-15","90","9","9","9","9","9","9","strict","2.17","$39.00"
"18852048","108922928","2016-12-28","N/A","N/A","N/A","f","1","{email, phone, facebook, reviews, work_email}","f","40.859605076873436","-73.86360867022711","House","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Indoor fireplace,Heating,Family/kid friendly,Hangers,Iron,Laptop friendly workspace,Private living room}","1","3","1","2017-06-01","2017-06-01","100","10","10","10","10","6","10","flexible","0.24","$49.00"
"759901","873273","2011-07-26","within an hour","100%","N/A","f","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.86633066268338","-73.85642849360434","House","Private room","2","1.5","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","5","33","2012-12-01","2017-03-31","93","10","9","10","10","9","9","strict","0.56","$85.00"
"13864221","3213737","2012-08-10","N/A","N/A","N/A","f","1","{email, phone, reviews, kba}","t","40.86065856757863","-73.85413708073744","Apartment","Private room","2","1.0","1","1","Real Bed","{TV,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Essentials,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","1","5","2016-08-11","2016-09-27","96","10","10","10","10","9","9","strict","0.36","$50.00"
"12496118","11305944","2014-01-14","within an hour","100%","N/A","f","3","{email, phone, facebook, reviews, jumio}","t","40.869469115265055","-73.85993496557778","House","Entire home/apt","4","1.0","1","1","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad,Private entrance}","2","3","27","2016-05-04","2017-09-16","94","9","9","10","10","9","9","strict","1.56","$105.00"
"13109017","72871708","2016-05-19","within a few hours","100%","N/A","f","1","{email, phone, facebook, reviews, jumio, government_id}","t","40.865212524321116","-73.86768102795105","Apartment","Private room","2","1.0","1","2","Real Bed","{Internet,Wireless Internet,Kitchen,Smoking allowed,Gym,Breakfast,Family/kid friendly,Suitable for events,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Iron,Laptop friendly workspace}","1","2","9","2016-06-10","2017-09-24","89","10","9","10","10","10","9","strict","0.56","$45.00"
"9513511","49293611","2015-11-17","within a few hours","100%","N/A","f","1","{email, phone, reviews}","f","40.85753242722044","-73.86605467319971","Apartment","Private room","1","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Elevator,Buzzer/wireless intercom,Heating,Smoke detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","7","5","2016-07-11","2017-09-29","88","9","10","10","10","9","10","strict","0.33","$70.00"
"10801360","4149899","2012-11-14","within a day","75%","N/A","f","2","{email, phone, reviews, kba}","t","40.85959069283521","-73.87006680395139","Apartment","Entire home/apt","2","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Heating,Essentials,Shampoo}","1","3","1","2016-09-07","2016-09-07","100","10","8","10","10","6","10","flexible","0.08","$90.00"
"8294259","11305944","2014-01-14","within an hour","100%","N/A","f","3","{email, phone, facebook, reviews, jumio}","t","40.86788702512838","-73.8599936997502","House","Private room","4","1.0","1","1","Real Bed","{TV,Cable TV,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Keypad}","2","2","23","2015-09-21","2017-09-02","98","10","10","10","10","9","10","moderate","0.93","$63.00"
"182177","873273","2011-07-26","within an hour","100%","N/A","f","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.864658045324134","-73.85708738793606","Apartment","Entire home/apt","8","1.0","1","3","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Pets allowed,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Hangers,Hair dryer,Iron,Laptop friendly workspace,Self Check-In,Keypad}","4","2","224","2011-09-04","2017-10-02","92","9","9","10","10","9","9","strict","3.02","$125.00"
"17876530","11305944","2014-01-14","within an hour","100%","N/A","f","3","{email, phone, facebook, reviews, jumio}","t","40.86868175908337","-73.85482829173488","House","Entire home/apt","7","1.0","1","2","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Kitchen,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,Essentials,Hangers,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Self Check-In,Keypad,Private entrance}","2","3","22","2017-04-10","2017-09-22","96","10","9","10","10","9","10","strict","3.73","$110.00"
"5046189","23732730","2014-11-14","within an hour","100%","N/A","f","3","{email, phone, reviews, jumio}","t","40.87054096738221","-73.84680708823343","Apartment","Entire home/apt","6","1.0","1","4","Real Bed","{TV,Internet,Air conditioning,Wheelchair accessible,Kitchen,Hot tub,Indoor fireplace,Heating,Washer,Dryer,Smoke detector,Carbon monoxide detector,Fire extinguisher,Essentials,Shampoo,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","2","1","38","2015-02-19","2017-09-04","96","9","9","10","10","9","9","strict","1.19","$200.00"
"773041","3684360","2012-09-26","within an hour","100%","N/A","f","5","{email, phone, reviews, sent_id}","t","40.85913781799357","-73.86979421965525","Apartment","Private room","3","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Heating,Family/kid friendly,Smoke detector,Carbon monoxide detector,First aid kit,Fire extinguisher,Shampoo,Lock on bedroom door,24-hour check-in,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","2","93","2012-12-12","2017-08-26","87","9","9","9","9","9","9","strict","1.59","$38.00"
"755528","3684360","2012-09-26","within an hour","100%","N/A","f","5","{email, phone, reviews, sent_id}","t","40.85839659260934","-73.86968575313621","Apartment","Entire home/apt","3","1.0","1","2","Real Bed","{TV,Cable TV,Internet,Wireless Internet,Air conditioning,Kitchen,Smoke detector,Fire extinguisher,Hangers,Hair dryer,Iron,Laptop friendly workspace}","1","2","108","2012-10-30","2017-09-17","88","9","9","9","9","9","9","strict","1.80","$49.00"
"3429765","16286162","2014-06-02","within an hour","100%","N/A","f","4","{email, phone, reviews, kba}","t","40.8668887200942","-73.857756180011","House","Private room","1","1.0","1","1","Real Bed","{Cable TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,Laptop friendly workspace,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Stove,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Cleaning before checkout}","1","2","66","2014-09-08","2017-08-25","96","10","9","10","10","9","10","strict","1.77","$43.00"
"9331257","4149899","2012-11-14","within a day","75%","N/A","f","2","{email, phone, reviews, kba}","t","40.85872806856071","-73.86996825743427","Apartment","Shared room","1","1.0","1","1","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Elevator,Heating,Shampoo}","1","2","8","2015-12-13","2016-07-30","98","10","10","10","10","10","10","moderate","0.36","$35.00"
"5647069","873273","2011-07-26","within an hour","100%","N/A","f","4","{email, phone, facebook, amex, reviews, jumio, kba}","t","40.86666784260982","-73.85634556161752","House","Private room","1","1.5","1","1","Real Bed","{TV,Internet,Wireless Internet,Air conditioning,Free parking on premises,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50}","1","2","4","2015-03-28","2017-09-09","90","10","9","10","8","10","9","strict","0.13","$85.00"
"4462008","16286162","2014-06-02","within an hour","100%","N/A","f","4","{email, phone, reviews, kba}","t","40.86814416518714","-73.85874498297198","House","Private room","2","1.5","1","2","Real Bed","{TV,Internet,Wireless Internet,Kitchen,Free parking on premises,Buzzer/wireless intercom,Heating,Smoke detector,Carbon monoxide detector,First aid kit,Safety card,Fire extinguisher,Essentials,Shampoo,Lock on bedroom door,Hangers,Hair dryer,Iron,translation missing: en.hosting_amenity_49,translation missing: en.hosting_amenity_50,Private living room,Private entrance,Hot water,Bed linens,Extra pillows and blankets,Microwave,Refrigerator,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Garden or backyard,Luggage dropoff allowed,Long term stays allowed,Wide doorway,Well-lit path to entrance}","1","2","75","2015-02-09","2017-09-24","90","9","9","10","10","8","9","moderate","2.33","$44.00"
